,plantSpecies,plantStatus
1,Apocynaceae,unknown
2,Asystasia gangetica,non-native
3,Bidens alba,native
4,Bidens pilosa,native
5,Breynia disticha,non-native
6,Caesalpinia sp,unknown
7,Cakile sp,unknown
8,Calophyllum antillanum,native
9,Calotropis procera,non-native
10,Canavalia rosea,native
11,Capraria biflora,native
12,Chrysobalanus icaco,native
14,Citharexylum sp,native
15,Coccoloba uvifera,native
16,Cocos nucifera,non-native
17,Conocarpus erectus,native
18,Convolvulaceae,unknown
19,Corchorus hirsutus,native
20,Crotalaria verrucosa,non-native
21,Desmodium tortuosum,native
22,Erithalis fruticosa,native
23,Euphorbia mesembryanthemifolia,native
24,Fabaceae,unknown
25,Faboideae,unknown
26,Gossypium hirsutum,native
27,Ipomoea imperati,non-native
28,Ipomoea pes-caprae,non-native
29,Jasminum fluminense,non-native
30,Lantana camara,non-native
31,Lantana involucrata,native
32,Leucaena leucocephala,non-native
33,Macroptilium atropurpureum,non-native
34,Macroptilium lathyroides,native
35,Melanthera nivea,native
36,Merremia quinquefolia,native
37,Neptunia plena,native
38,Passiflora foetida,non-native
39,Passifloraceae,unknown
40,Phyla nodiflora,native
41,Ruella tuberosa,native
42,Scaevola plumieri,native
43,Scaevola taccada,non-native
44,Spermacoce remota,native
45,Sphagneticola trilobata,native
46,Stachytarpheta jamaicensis,native
47,Stigmaphyllon floribundum,native
48,Terminalia catappa,non-native
49,Thespesia populnea,non-native
50,Verbenaceae,unknown
