"","locality","beach","city","latitude","longitude"
"1","1","Dos Palmas","Loiza","N18°26.670","W65°55.100"
"2","2","La Princesa","Isabela","N18°30.509","W67°00.850"
"3","3","Escondida","Fajardo","N18°22.478","W65°38.885"
"4","4","Sucia","Cabo Rojo","N17°56.160","W67°11.301"
"5","5","Tortuguero","Manati","N18°28.205","W66°27.096"
"6","6","Media Luna","Vieques","N18°05.472","W65°27.066"
"7","7","Punta Arenas","Vieques","N18°05.886","W65°34.378"
"8","8","Bahia La Chiva","Vieques","N18°06.769","W65°23.458"
"9","9","Navio","Vieques","N18°05.551","W65°26.653"
